year;universityId;subjectAreaId;InstitutionalValue;InternationalValue;NationalValue;SingleAuthorshipValue
2012;AGH University of Science and Technology;Agricultural and Biological Sciences;9.333333;15.0;33.333332;0.0
2013;AGH University of Science and Technology;Agricultural and Biological Sciences;9.0;6.0;39.77778;0.0
2014;AGH University of Science and Technology;Agricultural and Biological Sciences;182.4;33.0;9.333333;5.0
2015;AGH University of Science and Technology;Agricultural and Biological Sciences;39.0;13.666667;9.538462;19.75
2016;AGH University of Science and Technology;Agricultural and Biological Sciences;9.333333;19.8;14.111111;8.5
2017;AGH University of Science and Technology;Agricultural and Biological Sciences;7.0;28.4;25.25;9.5
2018;AGH University of Science and Technology;Agricultural and Biological Sciences;3.6666667;22.153847;18.5625;4.0
2019;AGH University of Science and Technology;Agricultural and Biological Sciences;8.230769;36.0;6.714286;8.714286
2020;AGH University of Science and Technology;Agricultural and Biological Sciences;11.5;12.428572;7.55;5.6666665
2021;AGH University of Science and Technology;Agricultural and Biological Sciences;9.25;4.428571;4.65;1.0
2022;AGH University of Science and Technology;Agricultural and Biological Sciences;5.6666665;4.571429;3.0588236;0.0
2023;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;0.6363636;0.0
2012;Białystok University of Technology;Agricultural and Biological Sciences;1.0;0.0;3.25;7.2
2013;Białystok University of Technology;Agricultural and Biological Sciences;12.0;0.0;6.6666665;2.2
2014;Białystok University of Technology;Agricultural and Biological Sciences;5.4444447;94.0;10.5;8.625
2015;Białystok University of Technology;Agricultural and Biological Sciences;3.35;32.0;8.0625;3.2222223
2016;Białystok University of Technology;Agricultural and Biological Sciences;4.2352943;7.25;11.6;3.0
2017;Białystok University of Technology;Agricultural and Biological Sciences;8.416667;2.75;6.6363635;4.8333335
2018;Białystok University of Technology;Agricultural and Biological Sciences;7.586207;12.111111;8.25;3.0
2019;Białystok University of Technology;Agricultural and Biological Sciences;6.6666665;6.3636365;11.25;2.764706
2020;Białystok University of Technology;Agricultural and Biological Sciences;3.7222223;10.0;12.769231;1.8181819
2021;Białystok University of Technology;Agricultural and Biological Sciences;1.875;6.5;9.125;2.3333333
2022;Białystok University of Technology;Agricultural and Biological Sciences;0.7;2.6666667;0.72727275;0.4
2023;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.6;0.0
2012;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;2.5;0.0
2013;Cracow University of Technology;Agricultural and Biological Sciences;2.0;33.0;7.0;0.0
2014;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;6.0;2.0
2015;Cracow University of Technology;Agricultural and Biological Sciences;4.5;45.333332;136.0;11.0
2016;Cracow University of Technology;Agricultural and Biological Sciences;47.666668;17.333334;15.25;0.25
2017;Cracow University of Technology;Agricultural and Biological Sciences;16.333334;44.0;40.666668;11.0
2018;Cracow University of Technology;Agricultural and Biological Sciences;18.0;15.333333;13.2;0.0
2019;Cracow University of Technology;Agricultural and Biological Sciences;5.5555553;10.0;6.428571;1.6
2020;Cracow University of Technology;Agricultural and Biological Sciences;8.666667;18.857143;7.142857;10.0
2021;Cracow University of Technology;Agricultural and Biological Sciences;3.75;2.5;7.4444447;1.0
2022;Cracow University of Technology;Agricultural and Biological Sciences;4.0;1.0;1.3846154;4.5
2023;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.44444445;0.0
2012;University of Białystok;Agricultural and Biological Sciences;37.625;19.0;28.666666;21.777779
2013;University of Białystok;Agricultural and Biological Sciences;38.3;25.304348;24.555555;10.0
2014;University of Białystok;Agricultural and Biological Sciences;32.0;26.0;15.444445;8.8
2015;University of Białystok;Agricultural and Biological Sciences;9.454545;13.583333;12.769231;10.0
2016;University of Białystok;Agricultural and Biological Sciences;25.8;3.75;22.285715;1.6666666
2017;University of Białystok;Agricultural and Biological Sciences;10.5;15.125;20.470589;3.6
2018;University of Białystok;Agricultural and Biological Sciences;11.142858;25.588236;8.666667;20.666666
2019;University of Białystok;Agricultural and Biological Sciences;14.454545;10.9375;9.869565;2.25
2020;University of Białystok;Agricultural and Biological Sciences;6.2222223;27.0;10.761905;1.6666666
2021;University of Białystok;Agricultural and Biological Sciences;4.5;9.714286;5.304348;0.0
2022;University of Białystok;Agricultural and Biological Sciences;3.5;2.4545455;1.2142857;1.0
2023;University of Białystok;Agricultural and Biological Sciences;2.0;1.4285715;0.0;0.0
2012;Warsaw University of Technology;Agricultural and Biological Sciences;18.0;26.25;7.625;0.0
2013;Warsaw University of Technology;Agricultural and Biological Sciences;13.0;15.625;17.555555;5.6666665
2014;Warsaw University of Technology;Agricultural and Biological Sciences;22.666666;41.0;10.666667;3.0
2015;Warsaw University of Technology;Agricultural and Biological Sciences;6.75;14.0;20.307692;7.0
2016;Warsaw University of Technology;Agricultural and Biological Sciences;23.5;33.625;8.357142;6.0
2017;Warsaw University of Technology;Agricultural and Biological Sciences;12.375;23.0;11.105263;15.0
2018;Warsaw University of Technology;Agricultural and Biological Sciences;8.0;15.583333;10.851851;44.0
2019;Warsaw University of Technology;Agricultural and Biological Sciences;6.3333335;7.1666665;8.5625;5.6666665
2020;Warsaw University of Technology;Agricultural and Biological Sciences;7.5;8.833333;6.5;2.4
2021;Warsaw University of Technology;Agricultural and Biological Sciences;5.0;5.7272725;3.3;6.75
2022;Warsaw University of Technology;Agricultural and Biological Sciences;3.2;1.85;1.4;0.0
2023;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.41666666;0.0;0.0
2012;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;29.666666;0.0
2013;Poznan University of Economics and Business;Agricultural and Biological Sciences;13.0;0.0;13.625;0.0
2014;Poznan University of Economics and Business;Agricultural and Biological Sciences;64.0;22.0;15.333333;0.5
2015;Poznan University of Economics and Business;Agricultural and Biological Sciences;30.5;32.2;14.857142;5.6666665
2016;Poznan University of Economics and Business;Agricultural and Biological Sciences;9.333333;14.0;94.166664;24.0
2017;Poznan University of Economics and Business;Agricultural and Biological Sciences;43.833332;17.75;26.25;7.3333335
2018;Poznan University of Economics and Business;Agricultural and Biological Sciences;5.75;11.333333;8.333333;42.333332
2019;Poznan University of Economics and Business;Agricultural and Biological Sciences;13.142858;16.428572;22.642857;21.333334
2020;Poznan University of Economics and Business;Agricultural and Biological Sciences;15.125;16.25;8.272727;20.75
2021;Poznan University of Economics and Business;Agricultural and Biological Sciences;6.8;4.111111;5.866667;6.0
2022;Poznan University of Economics and Business;Agricultural and Biological Sciences;3.0;5.625;2.1;0.4
2023;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0
2012;AGH University of Science and Technology;Arts and Humanities;1.0;29.0;4.0;0.0
2013;AGH University of Science and Technology;Arts and Humanities;7.0;0.0;14.5;19.25
2014;AGH University of Science and Technology;Arts and Humanities;40.0;23.25;13.5;0.0
2015;AGH University of Science and Technology;Arts and Humanities;27.0;18.166666;2.5;0.0
2016;AGH University of Science and Technology;Arts and Humanities;28.0;53.8;14.285714;9.5
2017;AGH University of Science and Technology;Arts and Humanities;127.0;8.4;1.375;4.0
2018;AGH University of Science and Technology;Arts and Humanities;4.0;10.0;2.5;2.8
2019;AGH University of Science and Technology;Arts and Humanities;0.0;9.125;7.75;2.0
2020;AGH University of Science and Technology;Arts and Humanities;4.6666665;5.1666665;4.0;0.0
2021;AGH University of Science and Technology;Arts and Humanities;0.25;6.0;2.2727273;0.16666667
2022;AGH University of Science and Technology;Arts and Humanities;0.0;0.8888889;0.0;0.6666667
2023;AGH University of Science and Technology;Arts and Humanities;0.0;0.5;1.0;0.0
2012;Białystok University of Technology;Arts and Humanities;0.5;0.0;0.0;2.0
2013;Białystok University of Technology;Arts and Humanities;0.0;24.0;0.0;1.0
2014;Białystok University of Technology;Arts and Humanities;11.0;0.0;8.333333;35.0
2015;Białystok University of Technology;Arts and Humanities;2.0;4.0;5.5;26.666666
2016;Białystok University of Technology;Arts and Humanities;3.0;0.0;0.0;7.5
2017;Białystok University of Technology;Arts and Humanities;5.0;0.0;0.5;4.0
2018;Białystok University of Technology;Arts and Humanities;1.0;2.0;4.125;1.5
2019;Białystok University of Technology;Arts and Humanities;1.0;0.0;0.0;1.0
2020;Białystok University of Technology;Arts and Humanities;8.0;9.0;17.0;14.0
2021;Białystok University of Technology;Arts and Humanities;0.0;1.0;12.5;1.0
2022;Białystok University of Technology;Arts and Humanities;0.0;0.0;2.0;0.0
2023;Białystok University of Technology;Arts and Humanities;None;None;None;None
2012;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0
2013;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0
2014;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;1.0
2015;Cracow University of Technology;Arts and Humanities;8.0;0.0;0.0;0.0
2016;Cracow University of Technology;Arts and Humanities;17.0;0.0;1.0;0.0
2017;Cracow University of Technology;Arts and Humanities;51.0;0.0;4.0;0.0
2018;Cracow University of Technology;Arts and Humanities;2.0;4.0;3.0;1.0
2019;Cracow University of Technology;Arts and Humanities;1.5;5.5;0.6;0.9285714
2020;Cracow University of Technology;Arts and Humanities;1.6666666;8.25;2.3333333;0.625
2021;Cracow University of Technology;Arts and Humanities;0.5;2.9444444;0.22222222;0.5
2022;Cracow University of Technology;Arts and Humanities;0.0;0.33333334;0.0;0.0
2023;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0
2012;University of Białystok;Arts and Humanities;0.4;0.0;4.5;2.586207
2013;University of Białystok;Arts and Humanities;0.85714287;0.0;4.0;3.6956522
2014;University of Białystok;Arts and Humanities;2.0;2.3333333;10.714286;1.3888888
2015;University of Białystok;Arts and Humanities;0.6;0.0;2.6;1.0
2016;University of Białystok;Arts and Humanities;0.5;0.0;4.2;1.6
2017;University of Białystok;Arts and Humanities;0.25;7.6666665;3.1666667;1.2903225
2018;University of Białystok;Arts and Humanities;4.0;11.8;5.3333335;1.0869565
2019;University of Białystok;Arts and Humanities;3.0;5.142857;4.0;0.20731707
2020;University of Białystok;Arts and Humanities;1.875;13.0;1.6;0.34615386
2021;University of Białystok;Arts and Humanities;0.33333334;4.3333335;2.6666667;0.1625
2022;University of Białystok;Arts and Humanities;1.5;0.3846154;0.5;0.04761905
2023;University of Białystok;Arts and Humanities;0.0;2.0;0.0;0.0
2012;Warsaw University of Technology;Arts and Humanities;0.0;0.0;20.0;0.0
2013;Warsaw University of Technology;Arts and Humanities;13.0;2.0;8.0;5.0
2014;Warsaw University of Technology;Arts and Humanities;7.0;5.0;2.6666667;0.5
2015;Warsaw University of Technology;Arts and Humanities;0.5;33.0;3.0;5.857143
2016;Warsaw University of Technology;Arts and Humanities;0.0;26.0;12.0;1.0
2017;Warsaw University of Technology;Arts and Humanities;4.5;0.0;1.0;0.0
2018;Warsaw University of Technology;Arts and Humanities;0.0;1.3333334;1.0;1.3333334
2019;Warsaw University of Technology;Arts and Humanities;0.0;0.6666667;2.0;1.5
2020;Warsaw University of Technology;Arts and Humanities;0.5;11.0;0.0;1.5
2021;Warsaw University of Technology;Arts and Humanities;0.75;1.0;3.6666667;0.625
2022;Warsaw University of Technology;Arts and Humanities;0.14285715;2.1818182;0.6;0.25
2023;Warsaw University of Technology;Arts and Humanities;0.5;0.33333334;2.0;0.0
2012;Poznan University of Economics and Business;Arts and Humanities;None;None;None;None
2013;Poznan University of Economics and Business;Arts and Humanities;None;None;None;None
2014;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;3.5
2015;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;4.0
2016;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;2.0;12.0
2017;Poznan University of Economics and Business;Arts and Humanities;1.0;0.0;0.0;0.0
2018;Poznan University of Economics and Business;Arts and Humanities;0.0;3.0;0.0;5.5
2019;Poznan University of Economics and Business;Arts and Humanities;0.0;2.0;0.0;1.5
2020;Poznan University of Economics and Business;Arts and Humanities;0.0;12.0;2.5;7.0
2021;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;5.0;3.6666667
2022;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;2.0
2023;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;0.0
2012;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;8.333333;23.68421;8.035714;8.0
2013;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;6.3;20.15;12.35;2.125
2014;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;15.625;36.625;13.038462;12.666667
2015;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;16.545454;17.65;11.518518;15.6
2016;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;22.277779;24.454546;16.03125;9.25
2017;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;7.0;38.57143;14.909091;0.0
2018;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;12.357142;14.695652;14.964286;25.166666
2019;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;13.357142;8.1;13.518518;20.5
2020;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;7.611111;11.029411;11.076923;7.125
2021;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;6.9473686;6.0416665;4.6805553;31.6
2022;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;1.05;5.730769;1.890625;7.6666665
2023;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.15789473;0.29411766;0.0
2012;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;45.5;15.0
2013;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;37.0;16.0;0.0
2014;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;22.5;64.0;8.5;0.0
2015;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;9.0;35.0;17.333334;0.0
2016;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;2.8;2.8333333;40.11111;9.0
2017;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;2.0;9.4;17.583334;43.0
2018;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;4.375;7.9;10.176471;0.27272728
2019;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;6.125;16.666666;15.153846;9.0
2020;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;11.4;8.75;6.6;5.0
2021;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;4.6;2.8888888;6.0;2.3333333
2022;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;1.2857143;2.7142856;1.0952381;0.33333334
2023;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.75;0.6666667;0.44444445;0.0
2012;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;27.571428;9.2;12.2;10.0
2013;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;13.428572;13.4;23.11111;5.2727275
2014;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;8.142858;21.0;20.545454;49.0
2015;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;8.0;23.4;13.384615;50.0
2016;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;6.8333335;23.333334;8.857142;0.0
2017;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;11.454545;5.714286;24.23077;9.5
2018;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;12.0;10.833333;13.7;16.0
2019;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;22.666666;17.272728;10.476191;16.0
2020;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;17.666666;15.0;7.4583335;8.4
2021;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;6.857143;6.0666666;4.969697;0.75
2022;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;2.3;5.7391305;1.15;1.0
2023;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;0.5;0.25;0.13636364;4.0
2012;University of Białystok;Biochemistry, Genetics and Molecular Biology;41.5;14.625;27.90909;0.0
2013;University of Białystok;Biochemistry, Genetics and Molecular Biology;35.1;25.173914;12.0625;34.0
2014;University of Białystok;Biochemistry, Genetics and Molecular Biology;38.875;19.5;12.0;16.5
2015;University of Białystok;Biochemistry, Genetics and Molecular Biology;11.214286;26.153847;14.4375;0.0
2016;University of Białystok;Biochemistry, Genetics and Molecular Biology;3.2;20.285715;19.933332;3.0
2017;University of Białystok;Biochemistry, Genetics and Molecular Biology;8.375;13.888889;14.875;0.0
2018;University of Białystok;Biochemistry, Genetics and Molecular Biology;12.875;22.444445;18.833334;0.0
2019;University of Białystok;Biochemistry, Genetics and Molecular Biology;10.75;11.842105;10.181818;2.6666667
2020;University of Białystok;Biochemistry, Genetics and Molecular Biology;6.0;25.35;11.434783;6.0
2021;University of Białystok;Biochemistry, Genetics and Molecular Biology;3.5714285;14.5625;6.6;1.0
2022;University of Białystok;Biochemistry, Genetics and Molecular Biology;1.5714285;1.4761904;1.2962962;0.0
2023;University of Białystok;Biochemistry, Genetics and Molecular Biology;0.33333334;0.6;0.2857143;0.0
2012;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;11.3529415;46.3;16.666666;0.0
2013;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;20.181818;73.84;15.423077;51.666668
2014;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;19.75;48.48148;16.896551;3.5
2015;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;16.166666;41.866665;13.767442;14.5
2016;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;18.933332;32.68182;16.212122;2.3333333
2017;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;14.705882;26.543478;12.133333;12.0
2018;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;15.181818;23.969696;10.613636;7.3333335
2019;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;7.923077;21.1;11.86;9.666667
2020;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;10.095238;12.84375;8.742424;10.857142
2021;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;4.5;8.347222;4.1318684;6.0
2022;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;1.2156863;3.792683;1.7012987;0.41666666
2023;Warsaw University of Technology;Biochemistry, Genetics and Molecular Biology;0.4;0.15625;0.03448276;0.0
2012;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;0.0;0.0;41.0;0.0
2013;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;13.0;0.0;0.0;0.0
2014;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;6.6666665;0.0;25.0;0.0
2015;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;18.666666;22.5;33.5;0.0
2016;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;0.0;0.0;30.0;0.0
2017;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;43.0;55.0;0.0;13.0
2018;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;5.0;16.5;54.0;0.0
2019;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;23.0;12.5;18.428572;0.0
2020;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;6.5;20.0;15.333333;73.0
2021;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;7.6666665;16.0;7.3333335;0.0
2022;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;1.3333334;3.25;2.0;0.0
2023;Poznan University of Economics and Business;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0
2012;AGH University of Science and Technology;Business, Management and Accounting;5.8;0.0;16.333334;11.333333
2013;AGH University of Science and Technology;Business, Management and Accounting;7.0;9.142858;4.0;50.0
2014;AGH University of Science and Technology;Business, Management and Accounting;3.7142856;8.0;4.1666665;56.333332
2015;AGH University of Science and Technology;Business, Management and Accounting;5.8;12.5;75.8;26.25
2016;AGH University of Science and Technology;Business, Management and Accounting;6.6666665;1.0;43.166668;20.555555
2017;AGH University of Science and Technology;Business, Management and Accounting;20.5;26.0;19.88889;49.5
2018;AGH University of Science and Technology;Business, Management and Accounting;6.4;10.8;17.454546;2.4736843
2019;AGH University of Science and Technology;Business, Management and Accounting;40.5;18.166666;8.5;16.444445
2020;AGH University of Science and Technology;Business, Management and Accounting;2.3333333;12.5;6.4444447;2.28
2021;AGH University of Science and Technology;Business, Management and Accounting;7.0;4.5;6.2941175;9.666667
2022;AGH University of Science and Technology;Business, Management and Accounting;2.3333333;2.28;0.78571427;3.4285715
2023;AGH University of Science and Technology;Business, Management and Accounting;0.0;1.0;0.33333334;2.0
2012;Białystok University of Technology;Business, Management and Accounting;1.0;46.0;0.0;6.0
2013;Białystok University of Technology;Business, Management and Accounting;13.5;10.0;5.0;9.5
2014;Białystok University of Technology;Business, Management and Accounting;0.0;2.5;0.0;5.0
2015;Białystok University of Technology;Business, Management and Accounting;0.0;5.571429;10.2;3.0
2016;Białystok University of Technology;Business, Management and Accounting;5.428571;8.428572;6.0;5.1875
2017;Białystok University of Technology;Business, Management and Accounting;16.285715;6.714286;3.8;4.3913045
2018;Białystok University of Technology;Business, Management and Accounting;4.0;15.2;10.333333;9.2
2019;Białystok University of Technology;Business, Management and Accounting;9.333333;21.333334;1.0;3.857143
2020;Białystok University of Technology;Business, Management and Accounting;3.6666667;12.8;5.714286;5.368421
2021;Białystok University of Technology;Business, Management and Accounting;2.125;8.6;3.1111112;3.8888888
2022;Białystok University of Technology;Business, Management and Accounting;1.1428572;0.75;0.5;0.7
2023;Białystok University of Technology;Business, Management and Accounting;0.0;0.5;0.0;0.0
2012;Cracow University of Technology;Business, Management and Accounting;0.0;0.0;0.0;0.0
2013;Cracow University of Technology;Business, Management and Accounting;0.0;0.0;25.0;3.3333333
2014;Cracow University of Technology;Business, Management and Accounting;0.0;29.0;0.0;7.0
2015;Cracow University of Technology;Business, Management and Accounting;36.0;44.5;107.666664;9.0
2016;Cracow University of Technology;Business, Management and Accounting;24.6;8.0;26.25;0.5
2017;Cracow University of Technology;Business, Management and Accounting;19.714285;19.0;9.0;1.0
