year;universityId;subjectAreaId;threshold1Value;threshold1PercentageValue;threshold5Value;threshold5PercentageValue;threshold10Value;threshold10PercentageValue;threshold25Value;threshold25PercentageValue
2012;University of Białystok;Multidisciplinary;None;None;None;None;None;None;None;None
2013;University of Białystok;Multidisciplinary;None;None;None;None;None;None;None;None
2014;University of Białystok;Multidisciplinary;None;None;None;None;None;None;None;None
2015;University of Białystok;Multidisciplinary;0.0;0.0;1.0;100.0;1.0;100.0;1.0;100.0
2016;University of Białystok;Multidisciplinary;0.0;0.0;0.0;0.0;1.0;100.0;1.0;100.0
2017;University of Białystok;Multidisciplinary;2.0;40.0;2.0;40.0;5.0;100.0;5.0;100.0
2018;University of Białystok;Multidisciplinary;0.0;0.0;2.0;25.0;7.0;87.5;7.0;87.5
2019;University of Białystok;Multidisciplinary;0.0;0.0;0.0;0.0;7.0;100.0;7.0;100.0
2020;University of Białystok;Multidisciplinary;0.0;0.0;0.0;0.0;14.0;93.333336;14.0;93.333336
2021;University of Białystok;Multidisciplinary;1.0;6.25;2.0;12.5;13.0;81.25;15.0;93.75
2022;University of Białystok;Multidisciplinary;0.0;0.0;2.0;6.25;11.0;34.375;12.0;37.5
2023;University of Białystok;Multidisciplinary;0.0;0.0;0.0;0.0;3.0;100.0;3.0;100.0
2012;Warsaw University of Technology;Multidisciplinary;0.0;0.0;1.0;50.0;1.0;50.0;2.0;100.0
2013;Warsaw University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;1.0;100.0;1.0;100.0
2014;Warsaw University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2015;Warsaw University of Technology;Multidisciplinary;1.0;25.0;3.0;75.0;3.0;75.0;3.0;75.0
2016;Warsaw University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;7.0;87.5;7.0;87.5
2017;Warsaw University of Technology;Multidisciplinary;1.0;4.7619047;1.0;4.7619047;12.0;57.14286;14.0;66.66667
2018;Warsaw University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;10.0;45.454548;12.0;54.545456
2019;Warsaw University of Technology;Multidisciplinary;0.0;0.0;1.0;4.347826;20.0;86.95652;20.0;86.95652
2020;Warsaw University of Technology;Multidisciplinary;3.0;11.538462;6.0;23.076923;24.0;92.30769;25.0;96.15385
2021;Warsaw University of Technology;Multidisciplinary;1.0;3.030303;1.0;3.030303;21.0;63.636364;27.0;81.818184
2022;Warsaw University of Technology;Multidisciplinary;2.0;2.5641026;9.0;11.538462;40.0;51.282055;42.0;53.846157
2023;Warsaw University of Technology;Multidisciplinary;1.0;5.555556;3.0;16.666668;13.0;72.22222;15.0;83.33333
2012;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2013;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2014;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2015;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2016;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2017;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2018;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;0.0;0.0;1.0;100.0;1.0;100.0
2019;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2020;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;0.0;0.0;3.0;100.0;3.0;100.0
2021;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;0.0;0.0;0.0;0.0;5.0;100.0
2022;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;0.0;0.0;0.0;0.0;2.0;100.0
2023;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;0.0;0.0;2.0;50.0;4.0;100.0
2012;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;1.0;12.5;1.0;12.5;3.0;37.5
2013;AGH University of Science and Technology;Agricultural and Biological Sciences;1.0;9.090909;1.0;9.090909;3.0;27.272728;8.0;72.72727
2014;AGH University of Science and Technology;Agricultural and Biological Sciences;1.0;5.0;3.0;15.000001;5.0;25.0;10.0;50.0
2015;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;4.0;16.0;8.0;32.0;15.0;60.000004
2016;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;6.0;13.636364;15.0;34.090908;22.0;50.0
2017;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;4.0;16.666668;7.0;29.166666;12.0;50.0
2018;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;5.0;17.241379;12.0;41.37931;18.0;62.068962
2019;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;7.0;17.948719;11.0;28.20513;18.0;46.153847
2020;AGH University of Science and Technology;Agricultural and Biological Sciences;1.0;2.3255813;7.0;16.27907;16.0;37.2093;29.0;67.441864
2021;AGH University of Science and Technology;Agricultural and Biological Sciences;2.0;4.7619047;10.0;23.809525;16.0;38.095238;30.0;71.42857
2022;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;5.0;14.705883;11.0;32.352943;22.0;64.70589
2023;AGH University of Science and Technology;Agricultural and Biological Sciences;0.0;0.0;5.0;33.333336;7.0;46.666668;11.0;73.333336
2012;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;1.0;9.090909;1.0;9.090909
2013;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.5
2014;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;1.0;4.166667;1.0;4.166667;4.0;16.666668
2015;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;2.0;4.5454545;3.0;6.818182;5.0;11.363637
2016;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;0.0;0.0;3.0;7.1428576
2017;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;2.0;6.8965516;4.0;13.793103
2018;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;0.0;0.0;4.0;9.523809
2019;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;3.0;6.122449;3.0;6.122449;7.0;14.285715
2020;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;2.0;5.263158;10.0;26.31579
2021;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;2.0;6.4516125;6.0;19.354837;18.0;58.064514
2022;Białystok University of Technology;Agricultural and Biological Sciences;1.0;2.7027028;1.0;2.7027028;2.0;5.4054055;16.0;43.243244
2023;Białystok University of Technology;Agricultural and Biological Sciences;0.0;0.0;1.0;7.692308;2.0;15.384616;5.0;38.46154
2012;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;2.0;33.333336;2.0;33.333336
2014;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;2.0;25.0;4.0;50.0
2016;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;2.0;18.181818;5.0;45.454548;8.0;72.72727
2017;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;2.0;20.0;4.0;40.0;6.0;60.000004
2018;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;3.0;25.0;7.0;58.333332;7.0;58.333332
2019;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;2.0;10.0;8.0;40.0
2020;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;2.0;8.0;7.0;28.0
2021;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;3.0;16.666668;3.0;16.666668;11.0;61.11111
2022;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;2.0;9.090909;2.0;9.090909;12.0;54.545456
2023;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;4.0;28.57143;5.0;35.714287;13.0;92.85714
2012;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;2.0;6.25;9.0;28.125;17.0;53.125
2013;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;4.0;10.0;13.0;32.5;26.0;65.0
2014;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;6.0;17.142859;9.0;25.714287;24.0;68.571434
2015;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;9.0;23.684212;14.0;36.842106;20.0;52.63158
2016;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;2.0;6.25;5.0;15.625;15.0;46.875
2017;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;6.0;16.216215;12.0;32.43243;21.0;56.75676
2018;University of Białystok;Agricultural and Biological Sciences;1.0;2.2222223;4.0;8.888889;12.0;26.666668;28.0;62.222225
2019;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;5.0;9.615385;10.0;19.23077;26.0;50.0
2020;University of Białystok;Agricultural and Biological Sciences;1.0;1.6666667;5.0;8.333334;16.0;26.666668;30.0;50.0
2021;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;2.0;3.2258062;20.0;32.258064;43.0;69.354836
2022;University of Białystok;Agricultural and Biological Sciences;2.0;4.6511626;3.0;6.9767447;11.0;25.581396;27.0;62.7907
2023;University of Białystok;Agricultural and Biological Sciences;0.0;0.0;1.0;4.7619047;7.0;33.333336;11.0;52.380955
2012;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;1.0;9.090909;2.0;18.181818;5.0;45.454548
2013;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;4.0;20.0;4.0;20.0;10.0;50.0
2014;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;3.0;30.000002;5.0;50.0;8.0;80.0
2015;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;1.0;5.882353;6.0;35.294117;10.0;58.823532
2016;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;3.0;11.111112;10.0;37.037037;13.0;48.148148
2017;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;5.0;14.705883;12.0;35.294117;20.0;58.823532
2018;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;5.0;13.888889;11.0;30.555555;22.0;61.11111
2019;Warsaw University of Technology;Agricultural and Biological Sciences;2.0;6.4516125;4.0;12.903225;6.0;19.354837;15.0;48.387096
2020;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;2.0;6.8965516;4.0;13.793103;17.0;58.62069
2021;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;5.0;16.129032;8.0;25.80645;20.0;64.51613
2022;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;5.0;12.5;6.0;15.000001;27.0;67.5
2023;Warsaw University of Technology;Agricultural and Biological Sciences;0.0;0.0;3.0;15.000001;7.0;35.0;12.0;60.000004
2012;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;0.0;0.0;1.0;33.333336
2013;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;2.0;25.0;2.0;25.0
2014;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;0.0;0.0;2.0;25.0
2015;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;3.0;14.285715;4.0;19.047619;11.0;52.380955
2016;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;3.0;20.0;3.0;20.0;6.0;40.0
2017;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;0.0;0.0;0.0;0.0;6.0;40.0
2018;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;1.0;8.333334;1.0;8.333334;4.0;33.333336
2019;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;1.0;3.4482758;4.0;13.793103;11.0;37.931034
2020;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;3.0;10.0;5.0;16.666668;9.0;30.000002
2021;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;5.0;17.857143;5.0;17.857143;10.0;35.714287
2022;Poznan University of Economics and Business;Agricultural and Biological Sciences;1.0;4.0;2.0;8.0;5.0;20.0;16.0;64.0
2023;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;1.0;12.5;2.0;25.0;6.0;75.0
2012;AGH University of Science and Technology;Arts and Humanities;3.0;100.0;3.0;100.0;3.0;100.0;3.0;100.0
2013;AGH University of Science and Technology;Arts and Humanities;0.0;0.0;1.0;16.666668;4.0;66.66667;5.0;83.33333
2014;AGH University of Science and Technology;Arts and Humanities;2.0;28.57143;2.0;28.57143;5.0;71.42857;6.0;85.71429
2015;AGH University of Science and Technology;Arts and Humanities;1.0;14.285715;4.0;57.14286;4.0;57.14286;4.0;57.14286
2016;AGH University of Science and Technology;Arts and Humanities;3.0;23.076923;8.0;61.538464;9.0;69.230774;9.0;69.230774
2017;AGH University of Science and Technology;Arts and Humanities;0.0;0.0;6.0;50.0;6.0;50.0;9.0;75.0
2018;AGH University of Science and Technology;Arts and Humanities;0.0;0.0;4.0;30.769232;7.0;53.846157;9.0;69.230774
2019;AGH University of Science and Technology;Arts and Humanities;4.0;25.0;4.0;25.0;7.0;43.75;11.0;68.75
2020;AGH University of Science and Technology;Arts and Humanities;0.0;0.0;6.0;46.153847;10.0;76.92308;11.0;84.61539
2021;AGH University of Science and Technology;Arts and Humanities;3.0;11.538462;6.0;23.076923;11.0;42.307693;16.0;61.538464
2022;AGH University of Science and Technology;Arts and Humanities;1.0;6.25;7.0;43.75;8.0;50.0;10.0;62.5
2023;AGH University of Science and Technology;Arts and Humanities;1.0;16.666668;2.0;33.333336;3.0;50.0;5.0;83.33333
2012;Białystok University of Technology;Arts and Humanities;None;None;None;None;None;None;None;None
2013;Białystok University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;Białystok University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;2.0;40.0
2015;Białystok University of Technology;Arts and Humanities;0.0;0.0;1.0;16.666668;1.0;16.666668;1.0;16.666668
2016;Białystok University of Technology;Arts and Humanities;0.0;0.0;1.0;25.0;1.0;25.0;1.0;25.0
2017;Białystok University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;Białystok University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8.333334
2019;Białystok University of Technology;Arts and Humanities;1.0;33.333336;1.0;33.333336;1.0;33.333336;1.0;33.333336
2020;Białystok University of Technology;Arts and Humanities;4.0;100.0;4.0;100.0;4.0;100.0;4.0;100.0
2021;Białystok University of Technology;Arts and Humanities;1.0;20.0;1.0;20.0;1.0;20.0;2.0;40.0
2022;Białystok University of Technology;Arts and Humanities;1.0;33.333336;1.0;33.333336;1.0;33.333336;1.0;33.333336
2023;Białystok University of Technology;Arts and Humanities;None;None;None;None;None;None;None;None
2012;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;1.0;100.0
2014;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;Cracow University of Technology;Arts and Humanities;0.0;0.0;1.0;33.333336;1.0;33.333336;1.0;33.333336
2016;Cracow University of Technology;Arts and Humanities;0.0;0.0;1.0;50.0;1.0;50.0;1.0;50.0
2017;Cracow University of Technology;Arts and Humanities;1.0;33.333336;2.0;66.66667;2.0;66.66667;2.0;66.66667
2018;Cracow University of Technology;Arts and Humanities;0.0;0.0;1.0;33.333336;1.0;33.333336;2.0;66.66667
2019;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;Cracow University of Technology;Arts and Humanities;1.0;4.0;1.0;4.0;1.0;4.0;5.0;20.0
2021;Cracow University of Technology;Arts and Humanities;1.0;2.2222223;2.0;4.4444447;2.0;4.4444447;6.0;13.333334
2022;Cracow University of Technology;Arts and Humanities;1.0;3.7037036;1.0;3.7037036;2.0;7.4074073;6.0;22.222223
2023;Cracow University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;1.0;33.333336
2012;University of Białystok;Arts and Humanities;0.0;0.0;0.0;0.0;1.0;2.9411764;1.0;2.9411764
2013;University of Białystok;Arts and Humanities;4.0;12.121212;4.0;12.121212;4.0;12.121212;4.0;12.121212
2014;University of Białystok;Arts and Humanities;0.0;0.0;2.0;9.090909;3.0;13.636364;6.0;27.272728
2015;University of Białystok;Arts and Humanities;0.0;0.0;2.0;8.695652;2.0;8.695652;3.0;13.043478
2016;University of Białystok;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;2.0;8.695652
2017;University of Białystok;Arts and Humanities;0.0;0.0;2.0;4.8780484;2.0;4.8780484;4.0;9.756097
2018;University of Białystok;Arts and Humanities;3.0;10.714286;5.0;17.857143;8.0;28.57143;12.0;42.857143
2019;University of Białystok;Arts and Humanities;1.0;2.777778;3.0;8.333334;6.0;16.666668;14.0;38.88889
2020;University of Białystok;Arts and Humanities;1.0;1.5384616;3.0;4.6153846;8.0;12.307693;10.0;15.384616
2021;University of Białystok;Arts and Humanities;1.0;1.6949153;2.0;3.3898306;5.0;8.474577;9.0;15.254237
2022;University of Białystok;Arts and Humanities;4.0;7.017544;8.0;14.035088;13.0;22.807016;18.0;31.578945
2023;University of Białystok;Arts and Humanities;2.0;18.181818;4.0;36.363636;5.0;45.454548;7.0;63.636364
2012;Warsaw University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;1.0;100.0
2013;Warsaw University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;Warsaw University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;1.0;25.0;1.0;25.0
2015;Warsaw University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;1.0;14.285715;1.0;14.285715
2016;Warsaw University of Technology;Arts and Humanities;1.0;25.0;1.0;25.0;1.0;25.0;1.0;25.0
2017;Warsaw University of Technology;Arts and Humanities;None;None;None;None;None;None;None;None
2018;Warsaw University of Technology;Arts and Humanities;0.0;0.0;0.0;0.0;1.0;11.111112;2.0;22.222223
2019;Warsaw University of Technology;Arts and Humanities;0.0;0.0;2.0;22.222223;3.0;33.333336;3.0;33.333336
2020;Warsaw University of Technology;Arts and Humanities;1.0;7.692308;1.0;7.692308;1.0;7.692308;3.0;23.076923
2021;Warsaw University of Technology;Arts and Humanities;1.0;4.0;2.0;8.0;11.0;44.0;20.0;80.0
2022;Warsaw University of Technology;Arts and Humanities;1.0;3.2258062;6.0;19.354837;14.0;45.16129;22.0;70.96774
2023;Warsaw University of Technology;Arts and Humanities;3.0;25.0;4.0;33.333336;6.0;50.0;11.0;91.66667
2012;Poznan University of Economics and Business;Arts and Humanities;None;None;None;None;None;None;None;None
2013;Poznan University of Economics and Business;Arts and Humanities;None;None;None;None;None;None;None;None
2014;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;Poznan University of Economics and Business;Arts and Humanities;None;None;None;None;None;None;None;None
2017;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;1.0;100.0
2018;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;1.0;100.0;1.0;100.0;1.0;100.0
2019;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;1.0;25.0;1.0;25.0;4.0;100.0
2021;Poznan University of Economics and Business;Arts and Humanities;2.0;33.333336;2.0;33.333336;3.0;50.0;5.0;83.33333
2022;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;0.0;1.0;16.666668;4.0;66.66667
2023;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;0.0;0.0;0.0;1.0;100.0
2012;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;1.0;3.7037036;2.0;7.4074073;7.0;25.925926
2013;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;2.0;4.7619047;18.0;42.857143
2014;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;2.0;4.6511626;15.0;34.88372
2015;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;4.0;7.8431377;26.0;50.980396
2016;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;5.0;7.042254;11.0;15.492958;24.0;33.802814
2017;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;5.0;8.333334;6.0;10.0;24.0;40.0
2018;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;1.0;1.4925373;4.0;5.970149;22.0;32.83582
2019;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;1.0;1.5384616;3.0;4.6153846;18.0;27.692308
2020;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;6.0;6.382979;11.0;11.702127;26.0;27.659575
2021;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;5.0;3.0864198;10.0;6.1728396;25.0;15.432098
2022;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;4.0;3.053435;9.0;6.870229;20.0;15.267176
2023;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;1.0;2.2727273;5.0;11.363637
2012;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.090909
2015;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;2.0;28.57143
2016;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;2.0;14.285715;4.0;28.57143
2017;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;10.0;50.0
2018;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;1.0;4.7619047;6.0;28.57143
2019;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;3.0;10.714286
2020;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;1.0;4.166667;2.0;8.333334
2021;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.5714288
2022;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.4444447
2023;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.555556
2012;Cracow University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
